date,building,students_present,temperature_c,ac_hours_per_day,solar_generated_kwh,electricity_kwh,water_liters,waste_kg
2025-01-07,Admin Block,105,14.7,0.0,238.7,607.7,6118.2,67.4
2025-01-07,Student Hostel,1500,14.7,0.0,243.8,2031.5,46746.5,687.1
2025-01-07,Central Library,212,14.7,0.0,249.8,662.6,6647.4,97.5
2025-01-08,Engineering Block,465,13.0,0.0,400.5,1192.7,14114.9,208.2
2025-01-08,Science Block,377,13.0,0.0,399.8,1002.1,12698.4,191.0
2025-01-08,Admin Block,103,13.0,0.0,331.9,557.8,6315.1,72.3
2025-01-08,Student Hostel,1500,13.0,0.0,286.3,2051.0,46360.1,687.7
2025-01-08,Central Library,237,13.0,0.0,284.9,697.5,7965.8,94.7
2025-01-09,Engineering Block,420,11.6,0.0,373.5,1164.1,14879.9,179.2
2025-01-09,Science Block,338,11.6,0.0,399.7,929.4,12682.1,169.4
2025-01-09,Admin Block,112,11.6,0.0,236.5,634.5,6017.2,67.7
2025-01-09,Student Hostel,1500,11.6,0.0,286.5,2095.6,46422.6,708.9
2025-01-09,Central Library,230,11.6,0.0,209.3,676.0,6653.0,77.4
2025-01-10,Engineering Block,484,18.0,0.4,462.2,1199.8,16142.7,228.0
2025-01-10,Science Block,390,18.0,0.0,437.9,968.6,14520.9,164.4
2025-01-10,Admin Block,121,18.0,0.4,299.9,626.4,6373.3,109.5
2025-01-10,Student Hostel,1500,18.0,0.4,266.9,2100.4,47215.6,671.6
2025-01-10,Central Library,245,18.0,0.0,270.9,674.2,7425.1,125.0
2025-01-11,Engineering Block,72,15.3,0.0,440.6,866.7,9061.3,92.7
2025-01-11,Science Block,57,15.3,0.0,418.5,582.0,8238.0,95.4
2025-01-11,Admin Block,18,15.3,0.0,250.8,399.5,4878.8,32.6
2025-01-11,Student Hostel,1350,15.3,0.0,232.2,1939.6,43650.6,624.8
2025-01-11,Central Library,36,15.3,0.0,292.9,518.5,4804.7,43.3
2025-01-12,Engineering Block,72,11.0,0.0,455.2,828.6,9318.4,117.8
2025-01-12,Science Block,57,11.0,0.0,415.1,691.3,7563.4,94.3
2025-01-12,Admin Block,18,11.0,0.0,192.1,441.0,3648.3,10.0
2025-01-12,Student Hostel,1350,11.0,0.0,243.5,1973.7,43048.2,644.2
2025-01-12,Central Library,36,11.0,0.0,217.8,487.9,4697.0,64.5
2025-01-13,Engineering Block,416,14.3,0.0,419.7,1103.7,14407.0,200.7
2025-01-13,Science Block,340,14.3,0.0,397.0,960.4,12509.6,169.5
2025-01-13,Admin Block,111,14.3,0.0,243.6,592.5,7043.3,70.8
2025-01-13,Student Hostel,1500,14.3,0.0,288.0,2100.4,45858.7,670.0
2025-01-13,Central Library,249,14.3,0.0,258.5,740.2,7454.1,64.8
2025-01-14,Engineering Block,472,15.0,0.0,386.5,1128.3,16143.7,200.6
2025-01-14,Science Block,361,15.0,0.0,386.1,932.8,12819.6,151.1
2025-01-14,Admin Block,107,15.0,0.0,256.0,524.3,6045.0,58.0
2025-01-14,Student Hostel,1500,15.0,0.0,250.0,2130.4,46535.8,677.5
2025-01-14,Central Library,237,15.0,0.0,276.5,715.1,6780.3,88.0
2025-01-15,Engineering Block,464,10.2,0.0,444.8,1206.3,14253.8,230.7
2025-01-15,Science Block,380,10.2,0.0,419.6,1008.0,12387.5,153.4
2025-01-15,Admin Block,107,10.2,0.0,232.7,557.6,5784.5,60.2
2025-01-15,Student Hostel,1500,10.2,0.0,219.5,2082.1,46277.2,697.8
2025-01-15,Central Library,231,10.2,0.0,246.7,682.4,6424.3,108.2
2025-01-16,Engineering Block,428,14.6,0.0,437.2,1102.1,14960.4,169.9
2025-01-16,Science Block,329,14.6,0.0,331.0,887.1,11906.6,183.4
2025-01-16,Admin Block,117,14.6,0.0,268.0,577.2,6748.0,73.2
2025-01-16,Student Hostel,1500,14.6,0.0,236.0,2090.4,46485.6,650.8
2025-01-16,Central Library,233,14.6,0.0,286.9,739.1,7419.4,90.1
2025-01-17,Engineering Block,499,12.9,0.0,463.8,1199.5,15553.8,218.2
2025-01-17,Science Block,381,12.9,0.0,420.7,960.1,12732.7,180.7
2025-01-17,Admin Block,112,12.9,0.0,225.8,542.6,6139.2,73.7
2025-01-17,Student Hostel,1500,12.9,0.0,237.8,2056.7,45841.2,653.1
2025-01-17,Central Library,250,12.9,0.0,264.4,730.9,6592.2,69.3
2025-01-18,Engineering Block,72,15.3,0.0,466.2,753.7,10927.6,123.4
2025-01-18,Science Block,57,15.3,0.0,419.4,640.9,9464.8,90.6
2025-01-18,Admin Block,18,15.3,0.0,260.4,370.6,5208.0,15.6
2025-01-18,Student Hostel,1350,15.3,0.0,263.7,1969.3,43577.8,605.1
2025-01-18,Central Library,36,15.3,0.0,236.0,447.3,5143.9,37.0
2025-01-19,Engineering Block,72,13.4,0.0,411.0,764.1,9918.9,103.7
2025-01-19,Science Block,57,13.4,0.0,408.5,659.2,8654.2,87.5
2025-01-19,Admin Block,18,13.4,0.0,261.3,402.8,4093.4,10.0
2025-01-19,Student Hostel,1350,13.4,0.0,253.5,1945.8,43395.1,630.0
2025-01-19,Central Library,36,13.4,0.0,266.3,522.7,4911.9,67.2
2025-01-20,Engineering Block,474,13.6,0.0,451.4,1149.4,15936.6,200.1
2025-01-20,Science Block,356,13.6,0.0,488.1,976.6,11683.9,174.7
2025-01-20,Admin Block,103,13.6,0.0,263.3,565.5,5684.8,60.9
2025-01-20,Student Hostel,1500,13.6,0.0,253.0,2052.4,46722.5,667.5
2025-01-20,Central Library,225,13.6,0.0,298.4,606.4,6745.2,113.7
2025-01-21,Engineering Block,427,13.7,0.0,371.5,1124.9,14588.1,205.0
2025-01-21,Science Block,357,13.7,0.0,432.9,944.4,12977.7,164.5
2025-01-21,Admin Block,118,13.7,0.0,223.8,597.6,5690.6,89.6
2025-01-21,Student Hostel,1500,13.7,0.0,239.5,2054.1,45769.2,689.8
2025-01-21,Central Library,218,13.7,0.0,256.7,654.4,6744.8,78.0
2025-01-22,Engineering Block,498,11.1,0.0,411.9,1201.7,16026.2,228.3
2025-01-22,Science Block,342,11.1,0.0,468.4,920.6,11003.7,145.8
2025-01-22,Admin Block,118,11.1,0.0,285.1,600.1,5338.7,76.9
2025-01-22,Student Hostel,1500,11.1,0.0,213.9,2074.6,46113.6,680.4
2025-01-22,Central Library,219,11.1,0.0,258.4,657.6,6477.4,74.9
2025-01-23,Engineering Block,451,15.0,0.0,407.9,1116.6,16510.6,157.1
2025-01-23,Science Block,372,15.0,0.0,430.2,946.8,13176.3,175.8
2025-01-23,Admin Block,120,15.0,0.0,218.0,512.8,6211.8,70.0
2025-01-23,Student Hostel,1500,15.0,0.0,240.9,2079.9,46566.3,658.3
2025-01-23,Central Library,208,15.0,0.0,243.0,702.6,6671.2,96.5
2025-01-24,Engineering Block,476,12.0,0.0,418.6,1246.7,15686.0,215.8
2025-01-24,Science Block,352,12.0,0.0,374.3,942.3,12613.9,157.9
2025-01-24,Admin Block,111,12.0,0.0,200.1,570.9,5955.9,84.6
2025-01-24,Student Hostel,1500,12.0,0.0,232.2,2101.3,45993.4,676.0
2025-01-24,Central Library,230,12.0,0.0,239.4,713.5,6629.2,69.0
2025-01-25,Engineering Block,72,14.1,0.0,426.2,788.9,9022.6,86.9
2025-01-25,Science Block,57,14.1,0.0,393.9,653.1,8365.0,53.7
2025-01-25,Admin Block,18,14.1,0.0,223.9,361.3,4720.2,31.5
2025-01-25,Student Hostel,1350,14.1,0.0,225.7,1996.3,44006.4,611.0
2025-01-25,Central Library,36,14.1,0.0,283.6,520.5,4156.2,33.2
2025-01-26,Engineering Block,72,15.2,0.0,440.8,735.7,10215.5,105.7
2025-01-26,Science Block,57,15.2,0.0,479.2,661.8,8284.7,87.6
2025-01-26,Admin Block,18,15.2,0.0,217.4,419.8,4754.4,31.6
2025-01-26,Student Hostel,1350,15.2,0.0,243.5,1987.9,43040.4,621.1
2025-01-26,Central Library,36,15.2,0.0,297.9,513.3,4802.0,35.5
2025-01-27,Engineering Block,432,15.4,0.0,460.3,1203.1,15154.7,200.4
2025-01-27,Science Block,356,15.4,0.0,425.3,907.7,12448.2,170.1
2025-01-27,Admin Block,106,15.4,0.0,302.2,538.9,6389.8,17.5
2025-01-27,Student Hostel,1500,15.4,0.0,218.4,2150.8,46746.8,654.9
2025-01-27,Central Library,239,15.4,0.0,238.6,671.5,6992.0,86.3
2025-01-28,Engineering Block,466,17.5,0.0,423.7,1134.4,15477.6,188.7
2025-01-28,Science Block,386,17.5,0.0,476.1,950.5,13311.4,196.8
2025-01-28,Admin Block,119,17.5,0.0,246.9,643.8,6967.8,81.2
2025-01-28,Student Hostel,1500,17.5,0.3,204.2,2104.6,47286.7,667.9
2025-01-28,Central Library,227,17.5,0.2,258.0,671.0,8429.1,121.1
2025-01-29,Engineering Block,477,17.9,0.4,437.7,1269.6,15848.8,218.5
2025-01-29,Science Block,363,17.9,0.0,444.0,932.9,12564.1,190.9
2025-01-29,Admin Block,104,17.9,0.0,206.1,632.2,6771.9,78.0
2025-01-29,Student Hostel,1500,17.9,0.0,250.4,2134.3,46168.2,671.7
2025-01-29,Central Library,249,17.9,0.0,266.9,698.6,7772.9,108.9
2025-01-30,Engineering Block,472,15.7,0.0,464.2,1164.8,15683.1,205.8
2025-01-30,Science Block,330,15.7,0.0,388.1,972.3,12954.1,166.2
2025-01-30,Admin Block,124,15.7,0.0,285.4,628.8,5405.5,60.9
2025-01-30,Student Hostel,1500,15.7,0.0,259.3,2116.6,47202.1,663.8
2025-01-30,Central Library,234,15.7,0.0,298.1,706.5,7346.9,101.7
2025-01-31,Engineering Block,427,17.1,0.0,462.8,1157.1,14916.5,204.9
2025-01-31,Science Block,388,17.1,0.0,443.9,998.9,13757.3,177.0
2025-01-31,Admin Block,102,17.1,0.0,252.8,558.7,6911.4,94.2
2025-01-31,Student Hostel,1500,17.1,0.0,270.9,2098.9,46483.6,671.4
2025-01-31,Central Library,228,17.1,0.2,256.6,762.9,7666.3,71.0
2025-02-01,Engineering Block,180,25.6,0.5,503.8,953.9,12171.7,150.3
2025-02-01,Science Block,142,25.6,0.5,486.5,783.7,10826.2,104.6
2025-02-01,Admin Block,45,25.6,0.5,255.2,474.0,7007.6,44.1
2025-02-01,Student Hostel,1350,25.6,2.4,307.9,2161.8,45358.6,604.7
2025-02-01,Central Library,90,25.6,0.5,282.3,608.9,6980.8,73.8
2025-02-02,Engineering Block,180,25.0,0.4,480.6,915.3,12303.1,140.3
2025-02-02,Science Block,142,25.0,0.5,470.7,790.4,11022.1,117.5
2025-02-02,Admin Block,45,25.0,0.4,245.5,447.8,6152.2,28.7
2025-02-02,Student Hostel,1350,25.0,2.4,304.4,2167.8,44261.0,612.1
2025-02-02,Central Library,90,25.0,0.4,261.3,576.9,7558.7,84.6
2025-02-03,Engineering Block,1108,29.0,3.6,449.7,1970.6,26957.6,354.0
2025-02-03,Science Block,924,29.0,3.4,546.9,1729.3,22796.4,320.1
2025-02-03,Admin Block,297,29.0,3.1,282.3,1119.6,12067.7,122.0
2025-02-03,Student Hostel,1500,29.0,2.9,279.6,2282.0,48471.5,667.5
2025-02-03,Central Library,550,29.0,3.2,276.1,1194.3,12243.9,165.1
2025-02-04,Engineering Block,1181,27.9,2.7,515.0,1987.4,26602.0,410.5
2025-02-04,Science Block,829,27.9,2.9,527.5,1581.5,21848.1,302.7
2025-02-04,Admin Block,278,27.9,3.1,274.8,1111.9,11161.2,141.1
2025-02-04,Student Hostel,1500,27.9,2.8,296.0,2340.0,48388.2,659.5
2025-02-04,Central Library,570,27.9,3.3,308.0,1286.2,12334.4,176.2
2025-02-05,Engineering Block,1241,26.1,2.8,450.2,2049.1,27576.2,413.4
2025-02-05,Science Block,811,26.1,2.3,490.2,1490.4,21195.0,265.2
2025-02-05,Admin Block,305,26.1,2.2,251.6,1050.8,11098.7,151.6
2025-02-05,Student Hostel,1500,26.1,2.3,292.1,2285.9,48582.4,694.1
2025-02-05,Central Library,551,26.1,2.7,296.7,1164.3,12123.4,178.6
2025-02-06,Engineering Block,1177,22.6,1.1,440.5,1906.4,25816.8,414.9
2025-02-06,Science Block,983,22.6,1.4,438.6,1610.4,22161.6,342.3
2025-02-06,Admin Block,259,22.6,1.3,259.5,920.1,10508.2,109.2
2025-02-06,Student Hostel,1500,22.6,1.3,268.7,2246.4,48042.3,703.3
2025-02-06,Central Library,583,22.6,1.4,232.7,1129.9,12180.0,191.7
2025-02-07,Engineering Block,1214,24.3,2.0,460.0,2029.1,27221.2,429.2
2025-02-07,Science Block,978,24.3,1.7,465.8,1617.3,22999.5,360.1
2025-02-07,Admin Block,281,24.3,1.9,286.6,1037.6,10654.3,151.1
2025-02-07,Student Hostel,1500,24.3,2.0,282.3,2181.0,48120.0,683.2
2025-02-07,Central Library,544,24.3,2.1,243.3,1111.6,12111.4,155.0
2025-02-08,Engineering Block,180,27.5,0.7,502.5,940.9,12547.2,148.7
2025-02-08,Science Block,142,27.5,0.5,476.3,793.9,10312.8,122.8
2025-02-08,Admin Block,45,27.5,0.6,244.5,440.1,6502.0,33.8
2025-02-08,Student Hostel,1350,27.5,2.5,298.6,2155.5,46333.9,627.0
2025-02-08,Central Library,90,27.5,0.5,294.0,580.5,6956.1,76.6
2025-02-09,Engineering Block,180,21.5,0.1,439.6,964.0,12630.5,147.2
2025-02-09,Science Block,142,21.5,0.3,467.7,701.2,10749.0,125.5
2025-02-09,Admin Block,45,21.5,0.2,269.4,501.6,5720.1,74.0
2025-02-09,Student Hostel,1350,21.5,1.1,250.7,2104.8,43498.6,632.2
2025-02-09,Central Library,90,21.5,0.3,295.0,554.7,6330.2,74.9
2025-02-10,Engineering Block,1212,30.5,3.1,482.4,2062.9,28548.1,415.6
2025-02-10,Science Block,968,30.5,4.6,488.2,1823.5,24249.9,353.6
2025-02-10,Admin Block,281,30.5,4.7,277.0,1197.7,12040.5,138.9
2025-02-10,Student Hostel,1500,30.5,3.9,286.3,2363.6,50267.2,721.0
2025-02-10,Central Library,610,30.5,4.1,295.1,1383.2,13015.7,195.9
2025-02-11,Engineering Block,1053,22.6,1.6,463.4,1819.5,24996.1,385.5
2025-02-11,Science Block,911,22.6,1.6,453.9,1584.4,21562.4,343.9
2025-02-11,Admin Block,280,22.6,1.7,258.0,998.6,11090.6,119.0
2025-02-11,Student Hostel,1500,22.6,1.4,270.4,2210.5,47088.5,690.7
2025-02-11,Central Library,559,22.6,1.5,327.9,1202.1,12325.1,179.5
2025-02-12,Engineering Block,1113,29.2,3.3,488.6,1919.8,25235.8,427.4
2025-02-12,Science Block,873,29.2,3.6,495.4,1638.4,21278.0,315.3
2025-02-12,Admin Block,287,29.2,3.7,290.8,1165.6,12244.3,126.9
2025-02-12,Student Hostel,1500,29.2,3.7,251.0,2396.4,48838.1,678.5
2025-02-12,Central Library,533,29.2,2.9,291.4,1254.3,12027.1,150.9
2025-02-13,Engineering Block,1200,25.5,1.9,449.8,2021.9,27369.7,408.1
2025-02-13,Science Block,877,25.5,2.6,474.7,1545.1,20496.2,351.0
2025-02-13,Admin Block,284,25.5,2.7,231.5,1060.0,10941.1,127.1
2025-02-13,Student Hostel,1500,25.5,2.6,255.0,2260.3,48704.2,692.8
2025-02-13,Central Library,582,25.5,2.2,267.5,1193.3,13338.5,185.3
2025-02-14,Engineering Block,1255,28.0,3.4,486.2,2166.5,28456.4,444.0
2025-02-14,Science Block,988,28.0,2.6,450.6,1678.4,22868.2,379.5
2025-02-14,Admin Block,276,28.0,2.9,299.4,1022.6,10840.1,147.9
2025-02-14,Student Hostel,1500,28.0,3.3,274.0,2276.1,48085.0,672.0
2025-02-14,Central Library,523,28.0,3.2,266.3,1189.3,12016.4,160.6
2025-02-15,Engineering Block,180,27.9,0.6,506.5,944.8,13571.0,123.9
2025-02-15,Science Block,142,27.9,0.7,434.9,812.5,11043.8,111.4
2025-02-15,Admin Block,45,27.9,0.7,271.6,525.6,7242.7,53.7
2025-02-15,Student Hostel,1350,27.9,3.3,267.8,2110.7,44621.9,601.3
2025-02-15,Central Library,90,27.9,0.5,285.5,589.7,7224.5,53.6
2025-02-16,Engineering Block,180,22.9,0.3,500.1,914.7,12330.7,163.1
2025-02-16,Science Block,142,22.9,0.3,466.9,772.1,9721.2,134.2
2025-02-16,Admin Block,45,22.9,0.3,264.2,456.6,5653.0,49.7
2025-02-16,Student Hostel,1350,22.9,1.2,235.3,2088.4,44486.0,634.3
2025-02-16,Central Library,90,22.9,0.2,274.8,567.8,6974.9,33.3
2025-02-17,Engineering Block,1234,30.9,4.8,490.4,2243.9,27949.5,426.8
2025-02-17,Science Block,908,30.9,4.1,519.7,1819.8,23032.1,350.0
2025-02-17,Admin Block,291,30.9,4.8,241.0,1190.6,11891.8,137.7
2025-02-17,Student Hostel,1500,30.9,4.3,259.2,2330.9,48090.1,692.9
2025-02-17,Central Library,585,30.9,3.7,311.7,1313.5,13300.7,150.7
2025-02-18,Engineering Block,1125,26.8,2.6,485.7,1963.7,26827.8,393.4
2025-02-18,Science Block,971,26.8,3.1,441.9,1764.6,23370.7,337.5
2025-02-18,Admin Block,271,26.8,2.4,304.4,1046.5,11098.6,119.0
2025-02-18,Student Hostel,1500,26.8,3.0,266.4,2311.8,48591.6,668.3
2025-02-18,Central Library,569,26.8,2.7,318.1,1212.2,12384.5,192.9
2025-02-19,Engineering Block,1252,25.0,1.8,470.1,2024.1,26694.2,435.8
2025-02-19,Science Block,896,25.0,2.1,490.2,1575.1,22333.4,305.3
2025-02-19,Admin Block,276,25.0,2.0,260.1,997.8,10574.5,129.1
2025-02-19,Student Hostel,1500,25.0,2.4,261.0,2359.4,47893.5,671.8
2025-02-19,Central Library,557,25.0,2.4,243.6,1279.1,12036.8,157.8
2025-02-20,Engineering Block,1052,25.2,2.0,475.8,1805.8,25055.2,362.8
2025-02-20,Science Block,923,25.2,1.8,473.6,1669.3,22101.9,315.1
2025-02-20,Admin Block,286,25.2,2.4,315.6,1032.2,11849.1,111.9
2025-02-20,Student Hostel,1500,25.2,2.2,213.4,2259.3,47254.6,700.1
2025-02-20,Central Library,626,25.2,2.4,280.2,1292.2,12165.1,176.7
2025-02-21,Engineering Block,1170,25.2,2.3,483.4,1956.0,26564.1,407.7
2025-02-21,Science Block,828,25.2,1.7,470.2,1532.2,20588.8,288.0
2025-02-21,Admin Block,310,25.2,2.5,274.6,1088.8,11640.2,153.2
2025-02-21,Student Hostel,1500,25.2,2.3,254.0,2244.7,48535.8,715.2
2025-02-21,Central Library,552,25.2,2.4,268.9,1154.3,11758.4,145.4
2025-02-22,Engineering Block,180,26.1,0.4,511.1,961.5,12780.8,141.9
2025-02-22,Science Block,142,26.1,0.4,516.8,723.4,11977.0,107.5
2025-02-22,Admin Block,45,26.1,0.5,290.0,412.0,7413.3,76.0
2025-02-22,Student Hostel,1350,26.1,2.2,264.7,2104.0,45751.3,612.6
2025-02-22,Central Library,90,26.1,0.5,284.2,584.4,7573.4,54.4
2025-02-23,Engineering Block,180,24.7,0.4,457.9,919.0,12387.0,115.0
2025-02-23,Science Block,142,24.7,0.3,439.9,793.1,24263.5,127.0
2025-02-23,Admin Block,45,24.7,0.5,225.6,528.5,6696.3,30.6
2025-02-23,Student Hostel,1350,24.7,2.5,258.8,2182.0,44995.3,621.3
2025-02-23,Central Library,90,24.7,0.4,264.5,483.9,7076.7,51.8
2025-02-24,Engineering Block,1259,28.5,3.0,538.4,2017.7,28284.6,469.5
2025-02-24,Science Block,809,28.5,3.2,465.4,1670.9,21788.8,322.2
2025-02-24,Admin Block,284,28.5,3.6,280.6,1149.1,10873.7,142.4
2025-02-24,Student Hostel,1500,28.5,3.1,292.4,2300.5,48740.6,685.9
2025-02-24,Central Library,600,28.5,2.8,251.4,1329.1,12092.0,172.6
2025-02-25,Engineering Block,1180,25.9,2.1,492.4,1992.5,26841.5,428.6
2025-02-25,Science Block,950,25.9,2.8,465.6,1755.8,23344.5,342.1
2025-02-25,Admin Block,258,25.9,2.0,268.1,1007.5,9456.6,124.0
2025-02-25,Student Hostel,1500,25.9,2.2,318.2,2295.4,47915.2,703.9
2025-02-25,Central Library,526,25.9,2.0,276.5,1100.9,11243.2,173.7
2025-02-26,Engineering Block,1072,22.4,1.1,456.5,1805.6,23886.3,357.8
2025-02-26,Science Block,822,22.4,1.4,477.9,1529.3,20592.0,294.2
2025-02-26,Admin Block,274,22.4,1.3,263.0,975.6,10629.9,148.6
2025-02-26,Student Hostel,1500,22.4,1.6,285.4,2163.8,47861.1,698.7
2025-02-26,Central Library,606,22.4,1.5,279.2,1153.9,12823.6,176.8
2025-02-27,Engineering Block,1102,25.6,1.8,535.6,1874.0,26766.8,410.4
2025-02-27,Science Block,885,25.6,2.5,484.2,1523.9,21322.9,306.5
2025-02-27,Admin Block,277,25.6,2.6,296.5,1029.6,10548.1,107.6
2025-02-27,Student Hostel,1500,25.6,2.4,267.3,2273.9,47475.3,674.9
2025-02-27,Central Library,536,25.6,1.8,297.2,1151.6,11580.8,144.8
2025-02-28,Engineering Block,1103,26.8,2.4,465.0,1968.3,25551.2,399.7
2025-02-28,Science Block,953,26.8,3.0,457.6,1741.6,22793.2,364.6
2025-02-28,Admin Block,297,26.8,2.2,286.0,1055.7,10856.0,146.3
2025-02-28,Student Hostel,1500,26.8,2.2,327.8,2214.1,48205.9,678.2
2025-02-28,Central Library,581,26.8,2.8,257.2,1249.2,12896.4,168.8
2025-03-01,Engineering Block,180,24.5,0.4,529.6,964.4,13461.4,107.2
2025-03-01,Science Block,142,24.5,0.4,406.2,773.4,11533.7,99.2
2025-03-01,Admin Block,45,24.5,0.4,261.6,486.8,5663.1,65.9
2025-03-01,Student Hostel,1350,24.5,2.3,261.6,2175.6,45170.9,588.1
2025-03-01,Central Library,90,24.5,0.5,261.3,564.9,6802.6,69.7
2025-03-02,Engineering Block,180,30.3,0.6,470.1,941.9,13035.1,123.1
2025-03-02,Science Block,142,30.3,0.9,462.7,825.8,12317.2,89.6
2025-03-02,Admin Block,45,30.3,0.9,275.0,465.6,8044.8,87.3
2025-03-02,Student Hostel,1350,30.3,2.9,260.7,2202.5,45484.5,616.0
2025-03-02,Central Library,90,30.3,0.9,275.0,540.2,7205.7,41.0
2025-03-03,Engineering Block,1082,25.5,2.3,465.5,1891.3,25978.0,384.8
2025-03-03,Science Block,981,25.5,2.1,449.3,1709.6,23059.0,358.9
2025-03-03,Admin Block,311,25.5,2.3,263.6,1099.9,11237.0,159.6
2025-03-03,Student Hostel,1500,25.5,2.2,,2199.1,48017.3,713.4
2025-03-03,Central Library,587,25.5,2.2,298.0,1283.0,12803.7,202.0
2025-03-04,Engineering Block,1174,28.7,2.8,473.5,2074.2,27284.7,397.7
2025-03-04,Science Block,885,28.7,3.6,452.0,1698.8,47881.3,304.2
2025-03-04,Admin Block,295,28.7,3.3,307.9,1085.0,24379.7,160.2
2025-03-04,Student Hostel,1500,28.7,3.0,285.4,2301.4,48430.9,665.0
2025-03-04,Central Library,619,28.7,2.8,242.9,1319.4,13318.0,152.0
2025-03-05,Engineering Block,1084,25.2,2.1,457.9,1904.9,24006.0,365.8
2025-03-05,Science Block,937,25.2,2.5,447.7,1613.6,22357.3,328.5
2025-03-05,Admin Block,288,25.2,1.7,290.7,1010.0,10464.1,135.6
2025-03-05,Student Hostel,1500,25.2,2.2,282.5,2230.8,47878.9,679.1
2025-03-05,Central Library,614,25.2,2.5,267.8,1279.7,13698.7,201.9
2025-03-06,Engineering Block,1242,25.4,2.0,474.0,2064.9,27489.2,427.8
2025-03-06,Science Block,822,25.4,1.9,452.0,1524.7,21657.4,316.2
2025-03-06,Admin Block,300,25.4,1.9,262.3,1100.1,11196.4,146.0
2025-03-06,Student Hostel,1500,25.4,2.2,274.5,2259.9,47660.7,697.4
2025-03-06,Central Library,602,25.4,1.7,268.8,1197.6,14128.5,154.2
2025-03-07,Engineering Block,1123,30.7,4.3,485.7,2046.3,25957.7,376.8
2025-03-07,Science Block,823,30.7,3.3,482.9,1564.5,21332.1,288.0
2025-03-07,Admin Block,255,30.7,3.6,271.8,1093.2,11245.7,131.9
2025-03-07,Student Hostel,1500,30.7,4.1,279.6,2370.9,48549.7,686.3
2025-03-07,Central Library,548,30.7,3.8,278.0,1324.3,13544.9,187.4
2025-03-08,Engineering Block,180,29.2,0.6,486.5,931.5,13410.2,127.9
2025-03-08,Science Block,142,29.2,0.7,491.4,754.9,11675.2,108.7
2025-03-08,Admin Block,45,29.2,0.7,303.1,477.1,6641.7,30.0
2025-03-08,Student Hostel,1350,29.2,3.2,341.6,2136.0,44735.2,608.8
2025-03-08,Central Library,90,29.2,0.7,323.8,603.2,7307.9,69.0
2025-03-09,Engineering Block,180,25.5,0.4,541.1,912.2,12581.6,161.2
2025-03-09,Science Block,142,25.5,0.5,478.1,811.3,11160.2,92.4
2025-03-09,Admin Block,45,25.5,0.5,249.8,459.2,6118.1,24.1
2025-03-09,Student Hostel,1350,25.5,2.2,269.2,2080.7,44712.7,652.3
2025-03-09,Central Library,90,25.5,0.5,251.4,593.7,6658.4,47.6
